,datetime,text,user,location
159,2020-06-20 19:49:12,"This shirt on a female would literally look like baby yoda was grabbing some tits. And yes, I fully accept I'm goin… https://t.co/c34VAEovDX",NewNinjaWifey,"Fort Myers, FL"
160,2020-06-20 19:45:00,"@cu_compliance Thanks for asking, Justin! The current time frame displayed on the item page is applied to orders cu… https://t.co/XObyjFETKd",shopDisney,Second star to the right
161,2020-06-20 19:33:36,"@TheChrisGlass Thanks for reaching out to us, Chris! The pre-order was stocked in multiple waves. The current time… https://t.co/UFQgsVavj3",shopDisney,Second star to the right
162,2020-06-20 19:31:02,@DeCalidonia Thanks for asking! The current time frame displayed on the item page is applied to orders currently be… https://t.co/z3O1Aasn1c,shopDisney,Second star to the right
163,2020-06-20 19:29:11,Lol I just got my @shopDisney masks and they barely fit. Oh well.,TibbyVenk,"Lake Buena Vista, FL"
164,2020-06-20 19:23:32,@_pamknudsen109_ Thanks for asking! When you create an account there is an option to sign up for email notifications. -Joanna,shopDisney,Second star to the right
165,2020-06-20 19:22:20,"@shopDisney I've already been charged for this pre-order, though. Is that normal store policy? When I pre-ordered,… https://t.co/G5ATFo254F",pussymango,where warren is president
166,2020-06-20 19:18:51,@shopDisney @eborts95 *sigh*,Madahi_Garcia,
167,2020-06-20 19:16:34,Need https://t.co/YgstVlRfWW,AMIRAWASHERE,"Atlanta, GA"
168,2020-06-20 19:15:43,"@Daviesallison1A Yes, that is correct. -Joanna",shopDisney,Second star to the right
169,2020-06-20 19:15:13,"@pussymango There were multiple waves of pre-orders. Once they sold out, they later were added back with a differen… https://t.co/nhySF1z1v6",shopDisney,Second star to the right
170,2020-06-20 19:06:23,@GetBinky @shopDisney That would be awesome! When all this awfulness is over with we should try and arrange something ☺️🥰,AdventuresOfTwo,"North Yorkshire, UK"
171,2020-06-20 19:01:58,I thought that said whore its https://t.co/tLiuQBYqnK,lovetahsin,
172,2020-06-20 18:52:05,@shopDisney all in one place ... that place being my bootyhole,m0motree,she/he/they
173,2020-06-20 18:50:11,@GetBinky @shopDisney That’s really good to hear. Hope you are both doing ok? Xx,TeamOSullivan1,"London, England"
174,2020-06-20 18:49:20,@GetBinky @shopDisney It did feel more normal didnt it. Forgot to add this little fellow too.... https://t.co/0ljNTo5KnC,DellTarrant68,"Blackpool, United Kingdom"
175,2020-06-20 18:47:06,@lexivas @shopDisney I know! It would’ve saved me time and effort this morning  😂😂,carofr1026,
176,2020-06-20 18:42:55,disney’s really out here hiding replies that criticize them lmao https://t.co/juHpeiYiTg https://t.co/8l6Zh03rII,RRihannaGrande,Burlington Cheesecoat Factory
177,2020-06-20 18:30:07,@ClaudineWicks @MrDavidMrIan @shopDisney Awwww that's amazing 🙌,GetBinky,"London, England"
178,2020-06-20 18:29:22,"@TeamOSullivan1 @shopDisney Shepherd's Bush, plenty of stores we're open but John Lewis opens next weekend I believ… https://t.co/WP9J5YVprs",GetBinky,"London, England"
179,2020-06-20 18:29:08,"@GetBinky @MrDavidMrIan @shopDisney Thanks guys, Roma’s got a little Minnie one and Vienna has Paw patrol",ClaudineWicks,Neverland
180,2020-06-20 18:26:53,"@ClaudineWicks @MrDavidMrIan @shopDisney We believe so, when we got to Disney, they told us facemasks were mandator… https://t.co/pEdCnBsKKF",GetBinky,"London, England"
181,2020-06-20 18:26:08,@GetBinky @shopDisney Which one did you go to? X,TeamOSullivan1,"London, England"
182,2020-06-20 18:23:35,@GetBinky @MrDavidMrIan @shopDisney This is great! Might go midweek. Do kids have to wear masks too?,ClaudineWicks,Neverland
183,2020-06-20 18:17:10,@AdventuresOfTwo @shopDisney Would love to see you guys ❤️🙌,GetBinky,"London, England"
184,2020-06-20 18:16:37,@shopDisney Not missing the parks since Polk Co PD busted so many pedophiles who were employees there.,a_valc,
185,2020-06-20 18:14:01,"@MrDavidMrIan @shopDisney Very well managed by the staff, folks wearing face masks and felt safe to walk around, no… https://t.co/1RPAXJbDFH",GetBinky,"London, England"
186,2020-06-20 18:12:30,Shopdisney's kink is getting yelled at,anatoIekuragin,obama festival
187,2020-06-20 18:11:27,Disneyland Halter Dress for Women | shopDisney | Source: https://t.co/SEJgJMssk7 #geek #thegreedygeek https://t.co/pN7lFPBvSu,GeekGreedy,
188,2020-06-20 18:11:10,@RoxxyyD @shopDisney It's on hold indefinitely rn,anatoIekuragin,obama festival
189,2020-06-20 18:09:17,"@DellTarrant68 @shopDisney Oh it sure did, the staff were amazing and it brought a sense of normality back.....even… https://t.co/c3SpixRGmV",GetBinky,"London, England"
